project_id,shoring_dxf,structural_dxf,ran_to_completion,bom_kg_total,kg_per_m3,tower_count,telescopic_count,exceptions_count,error_type,error_message,output_dir
101112-PE-07-FL01-PREDIO-DESAGUAMENTO-02,./Desktop/projects/escora-ai/input/supplier/101112-PE-07-FL01-PREDIO DESAGUAMENTO-02.dxf,./Desktop/projects/escora-ai/input/supplier_estrutural/101112-PE-07-FL01-PREDIO DESAGUAMENTO-02_estrutural.dxf,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/101112-PE-07-FL01-PREDIO-DESAGUAMENTO-02
104004-PE-01-TERREO-R02,./Desktop/projects/escora-ai/input/supplier/104004-PE-01-TERREO-R02 .dxf,./Desktop/projects/escora-ai/input/supplier_estrutural/104004-PE-01-TERREO-R02 _estrutural.dxf,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/104004-PE-01-TERREO-R02
105475-09-PE-PLAENGE-1-SUBSOLO-TRECHO-3-R00-1,./Desktop/projects/escora-ai/input/supplier/105475-09-PE-PLAENGE-1° Subsolo-Trecho 3-R00 1.dxf,./Desktop/projects/escora-ai/input/supplier_estrutural/105475-09-PE-PLAENGE-1° Subsolo-Trecho 3-R00 1_estrutural.dxf,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/105475-09-PE-PLAENGE-1-SUBSOLO-TRECHO-3-R00-1
110749-PE-01-FL-01-ESCORAMENTO-VIGAS-E-LAJES-PAVIMENTO-1-NIVEL-150-01,./Desktop/projects/escora-ai/input/supplier/110749-PE-01-FL.01-ESCORAMENTO VIGAS E LAJES-Pavimento 1-Nível 150-01.dxf,./Desktop/projects/escora-ai/input/supplier_estrutural/110749-PE-01-FL.01-ESCORAMENTO VIGAS E LAJES-Pavimento 1-Nível 150-01_estrutural.dxf,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/110749-PE-01-FL-01-ESCORAMENTO-VIGAS-E-LAJES-PAVIMENTO-1-NIVEL-150-01
35412-21-PE-COBERTURA-R00-1,./Desktop/projects/escora-ai/input/supplier/35412-21-PE-Cobertura-R00 1.dxf,./Desktop/projects/escora-ai/input/supplier_estrutural/35412-21-PE-Cobertura-R00 1_estrutural.dxf,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/35412-21-PE-COBERTURA-R00-1
59428-14-PE-ESCTO-PAVTO-TIPO-3O-AO-25O-TORRE-D-R00,./Desktop/projects/escora-ai/input/supplier/59428-14-PE-ESCTO - PAVTO TIPO(3º AO 25º) - TORRE D-R00.dxf,./Desktop/projects/escora-ai/input/supplier_estrutural/59428-14-PE-ESCTO - PAVTO TIPO(3º AO 25º) - TORRE D-R00_estrutural.dxf,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/59428-14-PE-ESCTO-PAVTO-TIPO-3O-AO-25O-TORRE-D-R00
78579-12-PE-PAVTO-TIPO-TORRE-B-LT02-R00,./Desktop/projects/escora-ai/input/supplier/78579-12-PE-PAVTO TIPO-TORRE B-LT02-R00.dxf,./Desktop/projects/escora-ai/input/supplier_estrutural/78579-12-PE-PAVTO TIPO-TORRE B-LT02-R00_estrutural.dxf,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/78579-12-PE-PAVTO-TIPO-TORRE-B-LT02-R00
84678-21-PE-TERREO-PERIFERIA-TRECHO8-R01,./Desktop/projects/escora-ai/input/supplier/84678-21-PE-TERREO-PERIFERIA-TRECHO8-R01.dxf,./Desktop/projects/escora-ai/input/supplier_estrutural/84678-21-PE-TERREO-PERIFERIA-TRECHO8-R01_estrutural.dxf,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/84678-21-PE-TERREO-PERIFERIA-TRECHO8-R01
87845-APE-02-FL01-2O-PAV-01,./Desktop/projects/escora-ai/input/supplier/87845-APE-02-FL01-2º PAV-01.dxf,./Desktop/projects/escora-ai/input/supplier_estrutural/87845-APE-02-FL01-2º PAV-01_estrutural.dxf,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/87845-APE-02-FL01-2O-PAV-01
92056-10-APE-P4-TB-1SS-R00,./Desktop/projects/escora-ai/input/supplier/92056-10-APE-P4-TB-1SS-R00.dxf,./Desktop/projects/escora-ai/input/supplier_estrutural/92056-10-APE-P4-TB-1SS-R00_estrutural.dxf,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/92056-10-APE-P4-TB-1SS-R00
97661-PE-05-FL-01-02-COB-R00,./Desktop/projects/escora-ai/input/supplier/97661-PE-05-FL 01-02-COB-R00.dxf,./Desktop/projects/escora-ai/input/supplier_estrutural/97661-PE-05-FL 01-02-COB-R00_estrutural.dxf,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/97661-PE-05-FL-01-02-COB-R00
CAD-COB-FOR-022-R01,./Desktop/projects/escora-ai/input/supplier/CAD-COB-FOR-022-R01_escoras.dxf,,false,,,,,1,DependencyUnavailable,"missing dependencies: ezdxf, shapely, pydantic, fastapi",./Desktop/projects/escora-ai/diagnostics/supplier_phase0/CAD-COB-FOR-022-R01
